chr	start	end	strand	symbol	id
GL456219.1	149261	150163	-	AC102264.1	ENSMUSG00000096244
18	64600071	64601643	-	AC102268.1	ENSMUSG00000117808
18	64611725	64613099	-	AC102268.2	ENSMUSG00000118133
19	34284280	34284537	-	AC102285.1	ENSMUSG00000118066
18	64978546	65001175	-	AC102333.1	ENSMUSG00000117895
18	15201112	15207791	-	AC102342.1	ENSMUSG00000117404
18	15194782	15214696	+	AC102342.2	ENSMUSG00000117613
17	75661240	75662226	+	AC102354.1	ENSMUSG00000117540
18	20499315	20500587	+	AC102410.1	ENSMUSG00000117480
18	10217043	10238921	+	AC102437.1	ENSMUSG00000117492
18	10194441	10194781	-	AC102437.2	ENSMUSG00000117510
18	10197676	10198174	-	AC102437.3	ENSMUSG00000117512
18	9543831	9545889	+	AC102492.1	ENSMUSG00000117349
18	9628862	9632479	+	AC102492.2	ENSMUSG00000117402
18	9547297	9552238	+	AC102492.3	ENSMUSG00000117641
18	30267249	30272133	+	AC102496.1	ENSMUSG00000117465
18	40071555	40109733	-	AC102519.1	ENSMUSG00000118042
19	58695521	58696177	+	AC102548.1	ENSMUSG00000118223
18	29442200	29466107	+	AC102549.1	ENSMUSG00000117554
18	27688151	27706672	-	AC102562.1	ENSMUSG00000117529
18	29245347	29246439	+	AC102588.1	ENSMUSG00000117638
19	58489282	58489603	+	AC102610.1	ENSMUSG00000118253
18	9818784	9820462	+	AC102618.1	ENSMUSG00000117619
19	20922392	20947009	+	AC102790.1	ENSMUSG00000118293
18	13462416	13601400	-	AC103362.1	ENSMUSG00000117608
17	76936640	76937041	+	AC103363.1	ENSMUSG00000117388
19	30531476	30531929	-	AC103405.1	ENSMUSG00000117953
19	30490703	30491285	-	AC103405.2	ENSMUSG00000118374
18	13130675	13131561	-	AC103597.1	ENSMUSG00000117447
18	13152052	13152805	-	AC103597.2	ENSMUSG00000117583
18	70907414	70907651	-	AC103658.1	ENSMUSG00000118271
18	28711861	28726847	+	AC103939.1	ENSMUSG00000117478
19	21261976	21263212	-	AC103947.1	ENSMUSG00000118044
19	21310376	21313283	-	AC103947.2	ENSMUSG00000118342
17	82955996	82956965	+	AC104103.1	ENSMUSG00000117472
18	13900536	13903470	-	AC104328.1	ENSMUSG00000117600
17	49329903	49331496	-	AC104866.1	ENSMUSG00000117198
17	49304479	49312960	-	AC104866.2	ENSMUSG00000117221
18	43840096	43870649	+	AC104867.1	ENSMUSG00000117902
19	60093460	60093931	-	AC105061.1	ENSMUSG00000118166
19	60079432	60087657	+	AC105061.2	ENSMUSG00000118291
18	81083064	81098084	+	AC105065.1	ENSMUSG00000118262
17	9321902	9323795	-	AC105297.1	ENSMUSG00000117015
17	9189126	9223664	+	AC105297.2	ENSMUSG00000117026
17	9246550	9248548	+	AC105297.3	ENSMUSG00000117133
17	9864419	9882149	+	AC105304.1	ENSMUSG00000117110
17	9947837	9948297	+	AC105304.2	ENSMUSG00000117206
17	9926593	9929767	-	AC105304.3	ENSMUSG00000117227
17	9847465	9849188	-	AC105304.4	ENSMUSG00000117290
18	29657054	29657596	-	AC105333.1	ENSMUSG00000117626
19	21121152	21248451	-	AC106834.1	ENSMUSG00000118086
19	21208477	21211973	+	AC106834.2	ENSMUSG00000118090
17	71421547	71421697	+	AC107664.1	ENSMUSG00000117103
17	71483392	71483914	+	AC107664.2	ENSMUSG00000117107
19	59180655	59181432	+	AC107710.1	ENSMUSG00000117834
18	40894684	40896031	+	AC107756.1	ENSMUSG00000118091
17	58583092	58583635	+	AC107765.1	ENSMUSG00000117188
17	58579030	58579967	-	AC107765.2	ENSMUSG00000117271
18	76226703	76228858	-	AC107768.1	ENSMUSG00000118004
18	76223970	76224183	-	AC107768.2	ENSMUSG00000118294
18	41477708	41477881	-	AC107773.1	ENSMUSG00000118299
17	73494251	73521142	+	AC107792.1	ENSMUSG00000117023
17	73447654	73448075	+	AC107792.2	ENSMUSG00000117088
17	73514717	73517755	-	AC107792.3	ENSMUSG00000117102
19	60611287	60625785	+	AC108409.1	ENSMUSG00000117790
18	69885224	69910724	-	AC108433.1	ENSMUSG00000118028
18	9304635	9305080	+	AC108777.1	ENSMUSG00000117644
18	68168448	68168967	-	AC108812.1	ENSMUSG00000118306
19	47054505	47055248	-	AC108814.1	ENSMUSG00000117691
19	54198391	54201454	+	AC108836.1	ENSMUSG00000118324
18	72426526	72427108	-	AC108910.1	ENSMUSG00000117831
19	4201779	4203240	+	AC109138.11	ENSMUSG00000118245
19	4254031	4257651	-	AC109138.4	ENSMUSG00000117718
19	4192109	4192782	-	AC109138.6	ENSMUSG00000117839
19	4214357	4233297	+	AC109138.7	ENSMUSG00000117873
19	4168742	4191047	-	AC109138.8	ENSMUSG00000117905
19	37870270	37871119	+	AC109149.1	ENSMUSG00000118115
18	56915362	56916088	-	AC109152.1	ENSMUSG00000117917
17	66823120	66823780	+	AC109261.1	ENSMUSG00000117166
17	66862240	66862626	+	AC109261.2	ENSMUSG00000117224
17	66824490	66824628	-	AC109261.3	ENSMUSG00000117329
17	66926825	66930199	-	AC109261.4	ENSMUSG00000117332
19	7087469	7088421	-	AC109619.1	ENSMUSG00000117901
17	51236771	51237062	-	AC110168.1	ENSMUSG00000117168
19	31112546	31113095	+	AC110180.1	ENSMUSG00000118011
19	55099502	55117815	+	AC110206.1	ENSMUSG00000118099
19	37784266	37785584	+	AC110212.1	ENSMUSG00000117939
19	37722787	37723423	-	AC110212.2	ENSMUSG00000117989
17	23896761	23916919	-	AC110262.1	ENSMUSG00000117400
17	23908236	23912371	-	AC110262.2	ENSMUSG00000117403
17	23902566	23925497	-	AC110262.3	ENSMUSG00000117488
17	23890115	23893588	-	AC110262.4	ENSMUSG00000117527
18	89379305	89379617	-	AC110375.1	ENSMUSG00000118274
17	55143175	55143546	+	AC110514.2	ENSMUSG00000117249
17	46094503	46094671	-	AC110562.1	ENSMUSG00000117109
17	46067335	46084266	-	AC110562.2	ENSMUSG00000117287
18	38892458	38971276	+	AC110730.1	ENSMUSG00000117994
19	8256224	8257587	-	AC110913.1	ENSMUSG00000118345
19	38703511	38704324	-	AC111023.1	ENSMUSG00000117935
18	5348258	5361861	-	AC111128.1	ENSMUSG00000117520
18	5368541	5370482	-	AC111128.2	ENSMUSG00000117617
17	73250986	73260656	+	AC112949.1	ENSMUSG00000117292
19	54923805	54936724	-	AC112967.1	ENSMUSG00000118207
18	6240814	6268387	+	AC113003.1	ENSMUSG00000117519
18	86601971	86619331	+	AC113010.1	ENSMUSG00000117736
19	27512508	27513279	+	AC113075.1	ENSMUSG00000118072
18	82712795	82726179	-	AC113104.1	ENSMUSG00000117842
18	82729779	82729981	-	AC113104.2	ENSMUSG00000117849
18	82717968	82720578	+	AC113104.3	ENSMUSG00000117888
18	82758718	82762401	+	AC113104.4	ENSMUSG00000118085
3	64949223	65223701	+	AC113458.1	ENSMUSG00000102437
19	32204182	32209273	-	AC113485.1	ENSMUSG00000118064
19	54084559	54086658	+	AC113491.1	ENSMUSG00000117921
18	75767143	75767274	+	AC113528.1	ENSMUSG00000118164
17	30395620	30396033	-	AC113540.1	ENSMUSG00000117962
18	86471522	86473929	-	AC113599.1	ENSMUSG00000117778
18	30608537	30608890	-	AC113953.1	ENSMUSG00000117526
19	29067347	29069503	+	AC113961.1	ENSMUSG00000118038
19	28973039	28974077	+	AC113961.2	ENSMUSG00000118165
18	34125252	34125717	-	AC114003.1	ENSMUSG00000118054
17	62384258	62436057	-	AC114006.1	ENSMUSG00000117066
19	46303591	46305611	-	AC114539.1	ENSMUSG00000118087
18	4052351	4052536	-	AC114652.1	ENSMUSG00000117565
18	9909193	9910498	+	AC114677.1	ENSMUSG00000117453
17	49931075	49931318	+	AC114824.1	ENSMUSG00000117034
17	49930028	49930151	+	AC114824.2	ENSMUSG00000117173
16	21896506	21897116	+	AC114990.1	ENSMUSG00000117327
18	33384398	33384955	-	AC115117.1	ENSMUSG00000117730
18	33464163	33474710	+	AC115117.2	ENSMUSG00000118292
18	54611744	54639870	+	AC115119.1	ENSMUSG00000118154
18	6557130	6557796	+	AC115302.1	ENSMUSG00000117425
18	36647860	36665917	+	AC115631.1	ENSMUSG00000117942
18	14309209	14331676	-	AC115692.1	ENSMUSG00000117365
18	14308387	14308780	+	AC115692.2	ENSMUSG00000117470
18	14331861	14333396	+	AC115692.3	ENSMUSG00000117605
19	7827103	7848667	-	AC115715.1	ENSMUSG00000118312
18	48663724	48670485	+	AC115719.1	ENSMUSG00000117885
19	32485923	32488198	+	AC115752.1	ENSMUSG00000118106
19	32439941	32441024	-	AC115752.2	ENSMUSG00000118329
19	32423192	32423576	+	AC115752.3	ENSMUSG00000118355
19	28033464	28033941	+	AC115768.1	ENSMUSG00000117788
19	28146096	28146303	-	AC115768.2	ENSMUSG00000117862
18	86779751	86780177	+	AC115783.1	ENSMUSG00000118328
18	83392558	83399621	-	AC115789.1	ENSMUSG00000117715
18	83417654	83423479	-	AC115789.2	ENSMUSG00000118060
18	83488012	83488522	-	AC115789.3	ENSMUSG00000118156
18	83496221	83525304	-	AC115789.4	ENSMUSG00000118175
18	83490414	83494417	+	AC115789.5	ENSMUSG00000118387
18	88095284	88096550	-	AC115822.1	ENSMUSG00000117801
18	11752279	11752555	-	AC115894.1	ENSMUSG00000117589
10	96047628	96096005	-	AC115970.1	ENSMUSG00000117008
19	36818648	36818930	+	AC116128.1	ENSMUSG00000117938
19	49554018	49557406	+	AC116451.1	ENSMUSG00000117931
19	49709393	49710124	-	AC116451.2	ENSMUSG00000118059
18	83600388	83603102	-	AC116489.1	ENSMUSG00000117658
18	83633641	83638085	-	AC116489.2	ENSMUSG00000118200
18	83624800	83626076	+	AC116489.3	ENSMUSG00000118222
18	61433502	61434201	-	AC116595.1	ENSMUSG00000118286
18	53639106	53705420	+	AC116597.1	ENSMUSG00000118362
17	93680334	93680665	-	AC116658.1	ENSMUSG00000117514
17	93680752	93681034	-	AC116658.2	ENSMUSG00000117537
18	83355585	83368145	+	AC116759.1	ENSMUSG00000117783
18	83361235	83371350	-	AC116759.2	ENSMUSG00000117993
18	87231932	87233793	+	AC116766.1	ENSMUSG00000118250
18	90017821	90019079	-	AC116799.1	ENSMUSG00000118035
18	87851450	87852040	-	AC116841.1	ENSMUSG00000118171
19	56669118	56674371	+	AC116849.1	ENSMUSG00000117859
19	56656511	56664611	-	AC116849.2	ENSMUSG00000117890
18	81913129	81916728	-	AC116857.1	ENSMUSG00000117817
19	38384566	38385514	-	AC116871.1	ENSMUSG00000117920
19	38287951	38288224	+	AC116871.2	ENSMUSG00000118242
19	38386963	38388103	-	AC116871.3	ENSMUSG00000118335
19	38342179	38342614	-	AC116871.4	ENSMUSG00000118381
17	60615767	60616592	-	AC117217.1	ENSMUSG00000117134
17	60739233	60739578	+	AC117217.2	ENSMUSG00000117288
17	81955451	81956273	-	AC117235.1	ENSMUSG00000117397
18	47116552	47117374	+	AC117239.1	ENSMUSG00000117377
18	47112139	47112653	+	AC117239.2	ENSMUSG00000117621
17	22331856	22332994	-	AC117244.1	ENSMUSG00000117164
17	42727173	42728036	+	AC117257.1	ENSMUSG00000117163
17	79825859	79826893	+	AC117261.1	ENSMUSG00000117561
19	53960355	53962769	-	AC117612.1	ENSMUSG00000117704
19	53976462	54001442	-	AC117612.2	ENSMUSG00000117981
19	26277846	26308707	-	AC117615.1	ENSMUSG00000118005
19	26246024	26249930	-	AC117629.1	ENSMUSG00000117950
15	88889780	88891525	-	AC117700.1	ENSMUSG00000093394
19	53883367	53883768	+	AC117805.1	ENSMUSG00000117693
19	26462344	26467779	-	AC117809.1	ENSMUSG00000117707
19	26530752	26530929	+	AC117809.2	ENSMUSG00000117803
19	26483557	26484450	-	AC117809.3	ENSMUSG00000118001
19	31950084	31952361	+	AC117816.1	ENSMUSG00000118366
18	25839077	25859420	+	AC118208.1	ENSMUSG00000117410
19	26802075	26803218	+	AC118472.1	ENSMUSG00000118331
16	18213649	18215250	+	AC118542.1	ENSMUSG00000116772
17	9549691	9594242	+	AC118543.1	ENSMUSG00000117143
17	65168514	65169203	-	AC118608.1	ENSMUSG00000117336
18	88827050	88827491	+	AC118614.1	ENSMUSG00000117887
18	50208878	50209144	-	AC118632.1	ENSMUSG00000117714
18	86925964	86926918	-	AC118642.1	ENSMUSG00000117908
18	86914648	86915568	+	AC118642.2	ENSMUSG00000118025
17	58462325	58462516	+	AC118684.1	ENSMUSG00000117281
19	56035096	56040941	+	AC118695.1	ENSMUSG00000117827
19	56012529	56012925	+	AC118695.2	ENSMUSG00000117833
19	27145316	27192009	-	AC118724.1	ENSMUSG00000118020
19	27101951	27115485	-	AC118724.2	ENSMUSG00000118209
18	81844352	81850016	-	AC119181.1	ENSMUSG00000117892
18	81722189	81724623	+	AC119181.2	ENSMUSG00000118073
18	81772059	81822469	+	AC119181.3	ENSMUSG00000118254
19	29373417	29384471	-	AC119228.1	ENSMUSG00000117964
19	36182580	36221618	+	AC119234.1	ENSMUSG00000117998
17	66094933	66095170	+	AC119957.1	ENSMUSG00000117321
19	27260735	27262323	-	AC119982.1	ENSMUSG00000117692
9	19219070	19232174	-	AC119987.1	ENSMUSG00000110493
19	26038452	26046467	-	AC119996.1	ENSMUSG00000118016
5	151635991	151641268	+	AC120011.1	ENSMUSG00000106759
19	29806663	29810096	+	AC120159.1	ENSMUSG00000118251
19	36215016	36264437	-	AC120164.1	ENSMUSG00000117990
19	36251727	36256336	+	AC120164.2	ENSMUSG00000118032
18	49063424	49064798	+	AC120397.1	ENSMUSG00000118290
18	26916731	26918097	-	AC120429.1	ENSMUSG00000117456
18	56390143	56390617	+	AC120797.1	ENSMUSG00000117688
18	87576208	87576414	+	AC121135.1	ENSMUSG00000117683
18	87474188	87474671	-	AC121135.2	ENSMUSG00000117969
18	69198121	69199000	+	AC121263.1	ENSMUSG00000117889
18	69217501	69222230	+	AC121263.2	ENSMUSG00000117970
17	66005705	66006087	+	AC121299.1	ENSMUSG00000117074
18	51913236	51927551	-	AC121495.1	ENSMUSG00000118334
18	84625745	84640906	+	AC121513.1	ENSMUSG00000117676
17	20049043	20049287	+	AC121539.1	ENSMUSG00000117099
